new_district	county	city	church	old_district	our_match	gcfa	our_status	score
South	Lavaca	Shiner	Johnson’s Chapel UMC	Crossroads	Shiner: Johnson's Chapel	984715	active	1.00
South	Lavaca	Yoakum	First UMC	Crossroads	Yoakum	760428	active	0.50
South	Matagorda	Palacios	Palacios UMC	Coastal Bend	Palacios	760042	active	1.00
South	Calhoun	Port Lavaca	First UMC	Coastal Bend	Port Lavaca	760144	active	0.67
South	Calhoun	Seadrift	Seadrift UMC	Coastal Bend	Seadrift	760268	active	1.00
South	Aransas	Rockport	First UMC	Coastal Bend	Rockport: First	760224	active	1.00
South	Refugio	Woodsboro	Faith United UMC	Coastal Bend	Woodsboro: Faith United	760383	active	1.00
South	Bee	Beeville	First UMC	Coastal Bend	Beeville: First	759384	active	1.00
South	Bee	Beeville	Jones Chapel UMC	Coastal Bend	Beeville: Jones Chapel	985834	active	1.00
South	Bee	Skidmore	Skidmore UMC	Coastal Bend	Skidmore	760304	active	1.00
South	Goliad	Goliad	Fannin St. UMC	Coastal Bend	Goliad: Fannin St.	985060	active	1.00
South	San Patricio	Portland	First UMC	Coastal Bend	Portland	760122	active	0.50
South	San Patricio	Sinton	Sinton UMC	Coastal Bend	Sinton: First	760281	active	0.50
South	San Patricio	Odem	Odem UMC	Coastal Bend	Odem	760020	active	1.00
South	Nueces	Bishop	Bishop UMC	Coastal Bend	Bishop	761491	active	1.00
South	Nueces	Corpus Christi	El Buen Pastor UMC	Coastal Bend	Corpus Christi: El Buen Pastor	756153	active	1.00
South	Nueces	Corpus Christi	First UMC	Coastal Bend	First Corpus Christi	759544	active	1.00
South	Nueces	Corpus Christi	Grace UMC	Coastal Bend	Grace Corpus Christi	759420	active	1.00
South	Nueces	Corpus Christi	Island in the Son UMC	Coastal Bend	Island in the Son	759577	active	1.00
South	Nueces	Corpus Christi	Kelsey Memorial UMC	Coastal Bend	Corpus Christi: Kelsey Memorial	756142	active	1.00
South	Nueces	Corpus Christi	St. John’s UMC	Coastal Bend	Saint Johns Corpus Christi	759602	active	1.00
South	Nueces	Corpus Christi	St. Paul UMC	Coastal Bend	St Paul Corpus Christi	985845	active	1.00
South	Nueces	Corpus Christi	Wesley UMC	Coastal Bend	Wesley Corpus Christi	759681	active	1.00
South	Kleberg	Kingsville	First UMC	Coastal Bend	First Kingsville	761731	active	1.00
South	Kleberg	Kingsville	El Buen Pastor UMC	Coastal Bend	Kingsville: El Buen Pastor	756528	active	1.00
South	Duval	Freer	Freer UMC	Coastal Bend	Freer	761640	active	1.00
South	Zapata	Zapata	First UMC	El Valle	Zapata	760656	active	0.50
South	Hidalgo	Weslaco	First UMC	El Valle	Weslaco	762063	active	0.50
South	Hidalgo	Alamo	San Pablo UMC	El Valle	Alamo: San Pablo	756062	active	1.00
South	Hidalgo	Edinburg	El Buen Pastor UMC	El Valle	Edinburg: El Buen Pastor	756346	active	1.00
South	Hidalgo	Edinburg	First UMC	El Valle	Edinburg	761605	active	0.50
South	Hidalgo	McAllen	First UMC	El Valle	First McAllen	761800	active	1.00
South	Hidalgo	McAllen	St. Mark UMC	El Valle	Saint Mark McAllen	761822	active	1.00
South	Hidalgo	Mercedes	First UMC	El Valle	Mercedes: First	761844	active	1.00
South	Hidalgo	Mission	El Mesias UMC	El Valle	Mission: El Mesias	756643	active	1.00
South	Hidalgo	Pharr	La Trinidad UMC	El Valle	Pharr: La Trinidad	756723	active	1.00
South	Hidalgo	Pharr	Nueva Vida UMC	El Valle	Nueva Vida Mission	730273	active	0.75
South	Hidalgo	San Juan	Los Wesleyanos UMC	El Valle	San Juan: Los Wesleyanos	756426	active	1.00
South	Cameron	Brownsville	First UMC	El Valle	Brownsville: First	761480	active	1.00
South	Cameron	Brownsville	Templo Emmanuel	El Valle	Brownsville Templo Eman	756175	active	0.50
South	Cameron	La Feria	Dios Es Amor UMC	El Valle	La Feria: Dios Es Amor	756665	active	1.00
South	Cameron	La Feria	La Feria UMC	El Valle	La Feria	761720	active	1.00
South	Cameron	Port Isabel	First UMC	El Valle	Port Isabel	761946	active	0.67
South	Cameron	San Benito	First UMC	El Valle	San Benito: First	762006	active	1.00
